date,city,state,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,condition,year,month,month_name,day_name,temperature_f,heat_index_proxy
2026-01-04,Chennai,Tamil Nadu,32.9,63.7,15.3,3.1,Cloudy,2026,1,January,Sunday,91.22,36.08
2026-01-04,Pune,Maharashtra,27.8,56.1,7.4,2.3,Sunny,2026,1,January,Sunday,82.04,30.6
2026-01-04,Mumbai,Maharashtra,30.9,73.1,14.6,6.7,Humid,2026,1,January,Sunday,87.62,34.56
2026-01-04,Delhi,Delhi,34.2,46.7,14.5,1.8,Clear,2026,1,January,Sunday,93.56,36.54
2026-01-04,Kolkata,West Bengal,32.9,80.8,7.2,4.3,Rain,2026,1,January,Sunday,91.22,36.94
2026-01-04,Ahmedabad,Gujarat,34.8,41.7,21.2,0.2,Sunny,2026,1,January,Sunday,94.64,36.88
2026-01-04,Jaipur,Rajasthan,34.4,48.3,15.7,0.1,Clear,2026,1,January,Sunday,93.92,36.82
2026-01-04,Kochi,Kerala,30.0,77.4,11.3,21.9,Rain,2026,1,January,Sunday,86.0,33.87
2026-01-05,Bengaluru,Karnataka,30.4,74.7,10.8,5.5,Partly Cloudy,2026,1,January,Monday,86.72,34.14
2026-01-05,Hyderabad,Telangana,30.5,64.8,14.7,3.1,Clear,2026,1,January,Monday,86.9,33.74
2026-01-05,Chennai,Tamil Nadu,32.9,66.1,20.2,10.3,Cloudy,2026,1,January,Monday,91.22,36.2
2026-01-05,Pune,Maharashtra,30.9,62.3,12.1,2.0,Sunny,2026,1,January,Monday,87.62,34.02
2026-01-05,Mumbai,Maharashtra,29.5,78.2,15.2,2.8,Humid,2026,1,January,Monday,85.1,33.41
2026-01-05,Delhi,Delhi,33.0,48.9,11.0,1.3,Clear,2026,1,January,Monday,91.4,35.44
2026-01-05,Kolkata,West Bengal,34.9,80.3,12.3,16.9,Rain,2026,1,January,Monday,94.82,38.92
2026-01-05,Ahmedabad,Gujarat,37.3,43.1,17.5,0.2,Sunny,2026,1,January,Monday,99.14,39.46
2026-01-05,Jaipur,Rajasthan,35.2,37.9,16.2,0.3,Clear,2026,1,January,Monday,95.36,37.1
2026-01-05,Kochi,Kerala,31.3,83.7,12.0,18.6,Rain,2026,1,January,Monday,88.34,35.48
2026-01-06,Bengaluru,Karnataka,27.4,74.2,14.7,9.6,Partly Cloudy,2026,1,January,Tuesday,81.32,31.11
2026-01-06,Hyderabad,Telangana,32.9,60.7,12.6,3.1,Clear,2026,1,January,Tuesday,91.22,35.94
2026-01-06,Chennai,Tamil Nadu,33.0,74.2,21.1,5.2,Cloudy,2026,1,January,Tuesday,91.4,36.71
2026-01-06,Pune,Maharashtra,29.2,64.3,11.5,0.8,Sunny,2026,1,January,Tuesday,84.56,32.42
2026-01-06,Mumbai,Maharashtra,29.2,73.1,18.5,12.4,Humid,2026,1,January,Tuesday,84.56,32.85
2026-01-06,Delhi,Delhi,33.6,56.6,15.3,1.3,Clear,2026,1,January,Tuesday,92.48,36.43
2026-01-06,Kolkata,West Bengal,32.6,81.7,7.5,3.1,Rain,2026,1,January,Tuesday,90.68,36.68
2026-01-06,Ahmedabad,Gujarat,37.5,47.1,19.4,0.5,Sunny,2026,1,January,Tuesday,99.5,39.85
2026-01-06,Jaipur,Rajasthan,36.2,47.2,17.5,0.1,Clear,2026,1,January,Tuesday,97.16,38.56
2026-01-06,Kochi,Kerala,29.0,81.1,9.5,14.6,Rain,2026,1,January,Tuesday,84.2,33.06
2026-01-07,Bengaluru,Karnataka,28.2,70.9,10.0,10.8,Partly Cloudy,2026,1,January,Wednesday,82.76,31.74
2026-01-07,Hyderabad,Telangana,31.4,60.4,15.0,3.5,Clear,2026,1,January,Wednesday,88.52,34.42
2026-01-07,Chennai,Tamil Nadu,33.5,75.8,18.3,6.4,Cloudy,2026,1,January,Wednesday,92.3,37.29
2026-01-07,Pune,Maharashtra,29.8,51.3,9.8,0.8,Sunny,2026,1,January,Wednesday,85.64,32.36
2026-01-07,Mumbai,Maharashtra,28.8,82.2,14.1,8.3,Humid,2026,1,January,Wednesday,83.84,32.91
2026-01-07,Delhi,Delhi,36.0,52.8,11.4,1.1,Clear,2026,1,January,Wednesday,96.8,38.64
2026-01-07,Kolkata,West Bengal,33.5,85.0,7.3,10.8,Rain,2026,1,January,Wednesday,92.3,37.75
2026-01-07,Ahmedabad,Gujarat,34.7,41.9,20.8,0.3,Sunny,2026,1,January,Wednesday,94.46,36.8
2026-01-07,Jaipur,Rajasthan,36.8,45.6,18.0,0.2,Clear,2026,1,January,Wednesday,98.24,39.08
2026-01-07,Kochi,Kerala,30.5,84.1,11.2,16.6,Rain,2026,1,January,Wednesday,86.9,34.7
2026-01-08,Bengaluru,Karnataka,29.1,72.5,12.1,11.1,Partly Cloudy,2026,1,January,Thursday,84.38,32.72
2026-01-08,Hyderabad,Telangana,32.9,66.3,17.2,1.4,Clear,2026,1,January,Thursday,91.22,36.21
2026-01-08,Chennai,Tamil Nadu,34.1,76.2,20.3,2.9,Cloudy,2026,1,January,Thursday,93.38,37.91
2026-01-08,Pune,Maharashtra,28.3,57.2,7.6,0.9,Sunny,2026,1,January,Thursday,82.94,31.16
2026-01-08,Mumbai,Maharashtra,29.2,80.4,17.8,13.5,Humid,2026,1,January,Thursday,84.56,33.22
2026-01-08,Delhi,Delhi,33.8,55.0,13.4,0.5,Clear,2026,1,January,Thursday,92.84,36.55
2026-01-08,Kolkata,West Bengal,34.9,87.5,8.0,16.4,Rain,2026,1,January,Thursday,94.82,39.28
2026-01-08,Ahmedabad,Gujarat,35.4,44.8,22.1,0.5,Sunny,2026,1,January,Thursday,95.72,37.64
2026-01-08,Jaipur,Rajasthan,35.3,41.0,15.6,0.2,Clear,2026,1,January,Thursday,95.54,37.35
2026-01-08,Kochi,Kerala,29.0,81.5,12.4,4.1,Rain,2026,1,January,Thursday,84.2,33.08
2026-01-09,Bengaluru,Karnataka,29.6,71.2,9.3,5.2,Partly Cloudy,2026,1,January,Friday,85.28,33.16
2026-01-09,Hyderabad,Telangana,32.7,61.2,11.9,3.7,Clear,2026,1,January,Friday,90.86,35.76
2026-01-09,Chennai,Tamil Nadu,35.1,76.6,15.9,4.1,Cloudy,2026,1,January,Friday,95.18,38.93
2026-01-09,Pune,Maharashtra,28.0,61.9,8.8,0.7,Sunny,2026,1,January,Friday,82.4,31.1
2026-01-09,Mumbai,Maharashtra,30.7,83.8,18.0,5.6,Humid,2026,1,January,Friday,87.26,34.89
2026-01-09,Delhi,Delhi,33.9,57.9,12.8,1.4,Clear,2026,1,January,Friday,93.02,36.8
2026-01-09,Kolkata,West Bengal,31.8,74.8,10.8,8.9,Rain,2026,1,January,Friday,89.24,35.54
2026-01-09,Ahmedabad,Gujarat,34.2,51.1,20.0,0.5,Sunny,2026,1,January,Friday,93.56,36.76
2026-01-09,Jaipur,Rajasthan,35.1,47.0,12.9,0.3,Clear,2026,1,January,Friday,95.18,37.45
2026-01-09,Kochi,Kerala,30.1,81.7,11.4,21.0,Rain,2026,1,January,Friday,86.18,34.18
2026-01-10,Bengaluru,Karnataka,28.5,66.8,12.4,4.3,Partly Cloudy,2026,1,January,Saturday,83.3,31.84
2026-01-10,Hyderabad,Telangana,30.7,56.3,11.8,1.3,Clear,2026,1,January,Saturday,87.26,33.52
2026-01-10,Chennai,Tamil Nadu,33.3,67.3,19.9,4.3,Cloudy,2026,1,January,Saturday,91.94,36.66
2026-01-10,Pune,Maharashtra,30.0,53.5,9.3,0.5,Sunny,2026,1,January,Saturday,86.0,32.67
2026-01-10,Mumbai,Maharashtra,30.1,71.2,17.5,9.2,Humid,2026,1,January,Saturday,86.18,33.66
2026-01-10,Delhi,Delhi,34.1,51.6,15.0,0.5,Clear,2026,1,January,Saturday,93.38,36.68
2026-01-10,Kolkata,West Bengal,34.8,80.1,9.7,14.7,Rain,2026,1,January,Saturday,94.64,38.8
2026-01-10,Ahmedabad,Gujarat,35.5,45.1,20.3,0.5,Sunny,2026,1,January,Saturday,95.9,37.76
2026-01-10,Jaipur,Rajasthan,36.2,46.7,16.7,0.3,Clear,2026,1,January,Saturday,97.16,38.54
2026-01-10,Kochi,Kerala,30.0,81.9,8.4,6.1,Rain,2026,1,January,Saturday,86.0,34.1
2026-01-11,Bengaluru,Karnataka,27.8,75.4,10.7,3.5,Partly Cloudy,2026,1,January,Sunday,82.04,31.57
2026-01-11,Hyderabad,Telangana,30.7,65.8,16.7,2.7,Clear,2026,1,January,Sunday,87.26,33.99
2026-01-11,Chennai,Tamil Nadu,33.3,66.4,17.1,5.7,Cloudy,2026,1,January,Sunday,91.94,36.62
2026-01-11,Pune,Maharashtra,28.7,57.2,8.8,2.4,Sunny,2026,1,January,Sunday,83.66,31.56
2026-01-11,Mumbai,Maharashtra,33.0,78.7,14.6,14.3,Humid,2026,1,January,Sunday,91.4,36.94
2026-01-11,Delhi,Delhi,34.7,50.0,9.4,0.9,Clear,2026,1,January,Sunday,94.46,37.2
2026-01-11,Kolkata,West Bengal,33.6,81.0,7.9,10.0,Rain,2026,1,January,Sunday,92.48,37.65
2026-01-11,Ahmedabad,Gujarat,34.1,41.7,16.7,0.3,Sunny,2026,1,January,Sunday,93.38,36.18
2026-01-11,Jaipur,Rajasthan,35.1,35.3,14.3,0.1,Clear,2026,1,January,Sunday,95.18,36.86
2026-01-11,Kochi,Kerala,30.8,84.4,12.6,16.0,Rain,2026,1,January,Sunday,87.44,35.02
2026-01-12,Bengaluru,Karnataka,30.5,77.3,11.5,5.1,Partly Cloudy,2026,1,January,Monday,86.9,34.36
2026-01-12,Hyderabad,Telangana,34.4,56.1,15.8,2.7,Clear,2026,1,January,Monday,93.92,37.2
2026-01-12,Chennai,Tamil Nadu,32.4,74.7,20.7,7.2,Cloudy,2026,1,January,Monday,90.32,36.14
2026-01-12,Pune,Maharashtra,31.1,62.4,8.0,1.5,Sunny,2026,1,January,Monday,87.98,34.22
2026-01-12,Mumbai,Maharashtra,31.3,82.7,17.9,12.6,Humid,2026,1,January,Monday,88.34,35.44
2026-01-12,Delhi,Delhi,35.9,57.5,13.5,1.3,Clear,2026,1,January,Monday,96.62,38.78
2026-01-12,Kolkata,West Bengal,32.7,74.4,7.5,8.0,Rain,2026,1,January,Monday,90.86,36.42
2026-01-12,Ahmedabad,Gujarat,34.6,49.7,19.6,0.4,Sunny,2026,1,January,Monday,94.28,37.08
2026-01-12,Jaipur,Rajasthan,37.6,44.5,15.4,0.1,Clear,2026,1,January,Monday,99.68,39.83
2026-01-12,Kochi,Kerala,31.7,87.5,11.1,13.7,Rain,2026,1,January,Monday,89.06,36.08
2026-01-13,Bengaluru,Karnataka,30.4,65.9,13.6,4.4,Partly Cloudy,2026,1,January,Tuesday,86.72,33.7
2026-01-13,Hyderabad,Telangana,30.8,57.7,15.9,1.3,Clear,2026,1,January,Tuesday,87.44,33.68
2026-01-13,Chennai,Tamil Nadu,35.3,76.7,18.3,5.1,Cloudy,2026,1,January,Tuesday,95.54,39.14
2026-01-13,Pune,Maharashtra,30.2,60.6,11.8,1.7,Sunny,2026,1,January,Tuesday,86.36,33.23
2026-01-13,Mumbai,Maharashtra,31.9,72.1,14.0,5.6,Humid,2026,1,January,Tuesday,89.42,35.5
2026-01-13,Delhi,Delhi,36.6,49.3,12.8,0.3,Clear,2026,1,January,Tuesday,97.88,39.06
2026-01-13,Kolkata,West Bengal,32.1,77.8,10.7,12.7,Rain,2026,1,January,Tuesday,89.78,35.99
2026-01-13,Ahmedabad,Gujarat,36.9,42.1,19.3,0.3,Sunny,2026,1,January,Tuesday,98.42,39.0
2026-01-13,Jaipur,Rajasthan,37.0,36.7,17.9,0.1,Clear,2026,1,January,Tuesday,98.6,38.84
2026-01-13,Kochi,Kerala,32.6,90.1,8.2,12.3,Rain,2026,1,January,Tuesday,90.68,37.11
2026-01-14,Bengaluru,Karnataka,31.1,78.6,11.9,4.6,Partly Cloudy,2026,1,January,Wednesday,87.98,35.03
2026-01-14,Hyderabad,Telangana,31.5,67.2,12.8,2.5,Clear,2026,1,January,Wednesday,88.7,34.86
2026-01-14,Chennai,Tamil Nadu,33.0,70.3,21.0,2.9,Cloudy,2026,1,January,Wednesday,91.4,36.52
2026-01-14,Pune,Maharashtra,31.6,58.1,12.5,1.9,Sunny,2026,1,January,Wednesday,88.88,34.51
2026-01-14,Mumbai,Maharashtra,30.4,83.6,16.0,2.8,Humid,2026,1,January,Wednesday,86.72,34.58
2026-01-14,Delhi,Delhi,33.7,51.9,12.1,0.8,Clear,2026,1,January,Wednesday,92.66,36.3
2026-01-14,Kolkata,West Bengal,32.5,78.8,8.6,14.8,Rain,2026,1,January,Wednesday,90.5,36.44
2026-01-14,Ahmedabad,Gujarat,34.3,48.5,21.2,0.1,Sunny,2026,1,January,Wednesday,93.74,36.72
2026-01-14,Jaipur,Rajasthan,38.9,45.0,17.9,0.1,Clear,2026,1,January,Wednesday,102.02,41.15
2026-01-14,Kochi,Kerala,30.2,82.5,14.1,14.7,Rain,2026,1,January,Wednesday,86.36,34.33
2026-01-15,Bengaluru,Karnataka,29.4,71.0,10.9,2.4,Partly Cloudy,2026,1,January,Thursday,84.92,32.95
2026-01-15,Hyderabad,Telangana,31.1,65.7,13.2,3.6,Clear,2026,1,January,Thursday,87.98,34.39
2026-01-15,Chennai,Tamil Nadu,33.5,66.7,18.4,3.4,Cloudy,2026,1,January,Thursday,92.3,36.84
2026-01-15,Pune,Maharashtra,29.9,64.4,12.5,2.1,Sunny,2026,1,January,Thursday,85.82,33.12
2026-01-15,Mumbai,Maharashtra,32.0,83.8,18.7,9.2,Humid,2026,1,January,Thursday,89.6,36.19
2026-01-15,Delhi,Delhi,36.7,45.7,13.8,1.0,Clear,2026,1,January,Thursday,98.06,38.98
2026-01-15,Kolkata,West Bengal,35.0,83.0,8.4,3.5,Rain,2026,1,January,Thursday,95.0,39.15
2026-01-15,Ahmedabad,Gujarat,38.1,39.8,19.0,0.2,Sunny,2026,1,January,Thursday,100.58,40.09
2026-01-15,Jaipur,Rajasthan,36.5,45.3,18.4,0.1,Clear,2026,1,January,Thursday,97.7,38.76
2026-01-15,Kochi,Kerala,31.4,81.2,11.4,11.1,Rain,2026,1,January,Thursday,88.52,35.46
2026-01-16,Bengaluru,Karnataka,28.7,67.3,10.4,10.8,Partly Cloudy,2026,1,January,Friday,83.66,32.06
2026-01-16,Hyderabad,Telangana,32.8,57.1,16.9,3.8,Clear,2026,1,January,Friday,91.04,35.66
2026-01-16,Chennai,Tamil Nadu,34.4,65.0,16.5,2.5,Cloudy,2026,1,January,Friday,93.92,37.65
2026-01-16,Pune,Maharashtra,29.9,52.3,8.6,1.0,Sunny,2026,1,January,Friday,85.82,32.52
2026-01-16,Mumbai,Maharashtra,31.9,83.4,17.6,7.5,Humid,2026,1,January,Friday,89.42,36.07
2026-01-16,Delhi,Delhi,35.6,52.3,11.7,0.8,Clear,2026,1,January,Friday,96.08,38.22
2026-01-16,Kolkata,West Bengal,32.3,77.9,12.5,4.6,Rain,2026,1,January,Friday,90.14,36.2
2026-01-16,Ahmedabad,Gujarat,36.5,46.8,21.4,0.2,Sunny,2026,1,January,Friday,97.7,38.84
2026-01-16,Jaipur,Rajasthan,36.5,38.5,14.9,0.2,Clear,2026,1,January,Friday,97.7,38.42
2026-01-16,Kochi,Kerala,32.7,88.9,13.3,4.1,Rain,2026,1,January,Friday,90.86,37.15
2026-01-17,Bengaluru,Karnataka,28.2,74.9,14.6,6.6,Partly Cloudy,2026,1,January,Saturday,82.76,31.94
2026-01-17,Hyderabad,Telangana,33.2,54.0,13.8,3.5,Clear,2026,1,January,Saturday,91.76,35.9
2026-01-17,Chennai,Tamil Nadu,36.0,75.0,21.1,3.9,Cloudy,2026,1,January,Saturday,96.8,39.75
2026-01-17,Pune,Maharashtra,29.0,53.2,10.3,1.9,Sunny,2026,1,January,Saturday,84.2,31.66
2026-01-17,Mumbai,Maharashtra,33.4,81.1,17.0,11.9,Humid,2026,1,January,Saturday,92.12,37.46
2026-01-17,Delhi,Delhi,35.8,52.7,9.6,1.5,Clear,2026,1,January,Saturday,96.44,38.43
2026-01-17,Kolkata,West Bengal,33.1,86.9,10.6,7.2,Rain,2026,1,January,Saturday,91.58,37.44
2026-01-17,Ahmedabad,Gujarat,35.1,41.5,20.0,0.4,Sunny,2026,1,January,Saturday,95.18,37.18
2026-01-17,Jaipur,Rajasthan,35.9,36.0,15.6,0.2,Clear,2026,1,January,Saturday,96.62,37.7
2026-01-17,Kochi,Kerala,30.5,80.1,11.7,3.9,Rain,2026,1,January,Saturday,86.9,34.51
2026-01-18,Bengaluru,Karnataka,29.4,71.4,15.0,8.2,Partly Cloudy,2026,1,January,Sunday,84.92,32.97
2026-01-18,Hyderabad,Telangana,34.5,60.7,12.9,1.4,Clear,2026,1,January,Sunday,94.1,37.53
2026-01-18,Chennai,Tamil Nadu,36.6,72.9,17.1,1.9,Cloudy,2026,1,January,Sunday,97.88,40.25
2026-01-18,Pune,Maharashtra,30.7,60.4,9.7,1.0,Sunny,2026,1,January,Sunday,87.26,33.72
2026-01-18,Mumbai,Maharashtra,32.4,84.0,14.5,2.9,Humid,2026,1,January,Sunday,90.32,36.6
2026-01-18,Delhi,Delhi,35.4,50.9,13.5,0.6,Clear,2026,1,January,Sunday,95.72,37.94
2026-01-18,Kolkata,West Bengal,35.5,84.3,9.7,5.8,Rain,2026,1,January,Sunday,95.9,39.72
2026-01-18,Ahmedabad,Gujarat,38.5,42.4,21.1,0.2,Sunny,2026,1,January,Sunday,101.3,40.62
2026-01-18,Jaipur,Rajasthan,36.5,45.6,14.3,0.3,Clear,2026,1,January,Sunday,97.7,38.78
2026-01-18,Kochi,Kerala,31.0,79.6,9.4,11.5,Rain,2026,1,January,Sunday,87.8,34.98
2026-01-19,Bengaluru,Karnataka,30.9,78.3,10.1,5.8,Partly Cloudy,2026,1,January,Monday,87.62,34.82
2026-01-19,Hyderabad,Telangana,31.9,67.6,12.4,0.8,Clear,2026,1,January,Monday,89.42,35.28
2026-01-19,Chennai,Tamil Nadu,33.1,68.5,20.7,9.4,Cloudy,2026,1,January,Monday,91.58,36.52
2026-01-19,Pune,Maharashtra,31.7,65.0,12.8,1.1,Sunny,2026,1,January,Monday,89.06,34.95
2026-01-19,Mumbai,Maharashtra,30.6,84.1,17.6,2.9,Humid,2026,1,January,Monday,87.08,34.8
2026-01-19,Delhi,Delhi,36.8,50.3,11.6,0.8,Clear,2026,1,January,Monday,98.24,39.32
2026-01-19,Kolkata,West Bengal,33.0,74.0,8.4,7.9,Rain,2026,1,January,Monday,91.4,36.7
2026-01-19,Ahmedabad,Gujarat,38.6,39.7,22.0,0.2,Sunny,2026,1,January,Monday,101.48,40.58
2026-01-19,Jaipur,Rajasthan,37.1,46.5,17.4,0.2,Clear,2026,1,January,Monday,98.78,39.43
2026-01-19,Kochi,Kerala,29.3,83.6,10.3,20.8,Rain,2026,1,January,Monday,84.74,33.48
2026-01-20,Bengaluru,Karnataka,29.1,70.1,14.6,2.2,Partly Cloudy,2026,1,January,Tuesday,84.38,32.61
2026-01-20,Hyderabad,Telangana,32.8,65.4,16.1,0.8,Clear,2026,1,January,Tuesday,91.04,36.07
2026-01-20,Chennai,Tamil Nadu,33.1,63.9,20.8,4.0,Cloudy,2026,1,January,Tuesday,91.58,36.3
2026-01-20,Pune,Maharashtra,31.8,63.6,9.2,1.0,Sunny,2026,1,January,Tuesday,89.24,34.98
2026-01-20,Mumbai,Maharashtra,33.8,79.6,14.7,11.3,Humid,2026,1,January,Tuesday,92.84,37.78
2026-01-20,Delhi,Delhi,35.5,48.9,9.4,1.4,Clear,2026,1,January,Tuesday,95.9,37.94
2026-01-20,Kolkata,West Bengal,36.1,82.9,12.4,3.2,Rain,2026,1,January,Tuesday,96.98,40.25
2026-01-20,Ahmedabad,Gujarat,35.8,44.7,21.9,0.5,Sunny,2026,1,January,Tuesday,96.44,38.03
2026-01-20,Jaipur,Rajasthan,37.3,38.5,15.1,0.2,Clear,2026,1,January,Tuesday,99.14,39.22
2026-01-20,Kochi,Kerala,32.9,79.6,12.9,17.5,Rain,2026,1,January,Tuesday,91.22,36.88
2026-01-21,Bengaluru,Karnataka,31.7,75.8,12.8,5.1,Partly Cloudy,2026,1,January,Wednesday,89.06,35.49
2026-01-21,Hyderabad,Telangana,32.5,59.1,16.2,0.9,Clear,2026,1,January,Wednesday,90.5,35.46
2026-01-21,Chennai,Tamil Nadu,33.8,73.5,16.8,2.3,Cloudy,2026,1,January,Wednesday,92.84,37.47
2026-01-21,Pune,Maharashtra,29.0,58.7,9.2,2.5,Sunny,2026,1,January,Wednesday,84.2,31.94
2026-01-21,Mumbai,Maharashtra,33.5,84.8,14.7,3.5,Humid,2026,1,January,Wednesday,92.3,37.74
2026-01-21,Delhi,Delhi,34.7,52.0,13.7,1.0,Clear,2026,1,January,Wednesday,94.46,37.3
2026-01-21,Kolkata,West Bengal,33.4,79.8,10.4,12.5,Rain,2026,1,January,Wednesday,92.12,37.39
2026-01-21,Ahmedabad,Gujarat,37.9,49.9,20.2,0.1,Sunny,2026,1,January,Wednesday,100.22,40.39
2026-01-21,Jaipur,Rajasthan,39.2,39.1,15.9,0.2,Clear,2026,1,January,Wednesday,102.56,41.16
2026-01-21,Kochi,Kerala,32.3,79.8,9.6,8.3,Rain,2026,1,January,Wednesday,90.14,36.29
2026-01-22,Bengaluru,Karnataka,29.1,77.4,12.7,5.1,Partly Cloudy,2026,1,January,Thursday,84.38,32.97
2026-01-22,Hyderabad,Telangana,32.9,67.9,14.5,1.4,Clear,2026,1,January,Thursday,91.22,36.3
2026-01-22,Chennai,Tamil Nadu,36.3,72.1,21.2,2.6,Cloudy,2026,1,January,Thursday,97.34,39.9
2026-01-22,Pune,Maharashtra,30.9,62.5,12.2,2.3,Sunny,2026,1,January,Thursday,87.62,34.02
2026-01-22,Mumbai,Maharashtra,30.2,75.1,13.8,4.8,Humid,2026,1,January,Thursday,86.36,33.96
2026-01-22,Delhi,Delhi,38.3,53.2,15.0,0.9,Clear,2026,1,January,Thursday,100.94,40.96
2026-01-22,Kolkata,West Bengal,36.0,80.3,8.3,13.9,Rain,2026,1,January,Thursday,96.8,40.02
2026-01-22,Ahmedabad,Gujarat,38.8,39.5,19.8,0.4,Sunny,2026,1,January,Thursday,101.84,40.78
2026-01-22,Jaipur,Rajasthan,36.7,40.2,13.3,0.1,Clear,2026,1,January,Thursday,98.06,38.71
2026-01-22,Kochi,Kerala,30.4,85.4,12.0,7.5,Rain,2026,1,January,Thursday,86.72,34.67
2026-01-23,Bengaluru,Karnataka,28.6,69.6,13.3,3.8,Partly Cloudy,2026,1,January,Friday,83.48,32.08
2026-01-23,Hyderabad,Telangana,32.6,56.8,16.3,2.4,Clear,2026,1,January,Friday,90.68,35.44
2026-01-23,Chennai,Tamil Nadu,33.4,64.4,17.7,6.5,Cloudy,2026,1,January,Friday,92.12,36.62
2026-01-23,Pune,Maharashtra,31.6,52.3,8.2,1.9,Sunny,2026,1,January,Friday,88.88,34.22
2026-01-23,Mumbai,Maharashtra,31.8,75.0,14.9,14.2,Humid,2026,1,January,Friday,89.24,35.55
2026-01-23,Delhi,Delhi,35.7,52.9,11.5,0.9,Clear,2026,1,January,Friday,96.26,38.35
2026-01-23,Kolkata,West Bengal,36.1,88.0,8.9,5.7,Rain,2026,1,January,Friday,96.98,40.5
2026-01-23,Ahmedabad,Gujarat,38.0,40.9,16.2,0.5,Sunny,2026,1,January,Friday,100.4,40.04
2026-01-23,Jaipur,Rajasthan,37.6,46.5,14.9,0.3,Clear,2026,1,January,Friday,99.68,39.93
2026-01-23,Kochi,Kerala,31.3,79.3,8.2,14.0,Rain,2026,1,January,Friday,88.34,35.26
