date,city,state,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,condition
2026-01-05,Kochi,Kerala,31.3,83.7,12.0,18.6,Rain
2026-01-06,Bengaluru,Karnataka,27.4,74.2,14.7,9.6,Partly Cloudy
2026-01-06,Hyderabad,Telangana,32.9,60.7,12.6,3.1,Clear
2026-01-06,Chennai,Tamil Nadu,33.0,74.2,21.1,5.2,Cloudy
2026-01-06,Pune,Maharashtra,29.2,64.3,11.5,0.8,Sunny
2026-01-06,Mumbai,Maharashtra,29.2,73.1,18.5,12.4,Humid
2026-01-06,Delhi,Delhi,33.6,56.6,15.3,1.3,Clear
2026-01-06,Kolkata,West Bengal,32.6,81.7,7.5,3.1,Rain
2026-01-06,Ahmedabad,Gujarat,37.5,47.1,19.4,0.5,Sunny
2026-01-06,Jaipur,Rajasthan,36.2,47.2,17.5,0.1,Clear
2026-01-06,Kochi,Kerala,29.0,81.1,9.5,14.6,Rain
2026-01-07,Bengaluru,Karnataka,28.2,70.9,10.0,10.8,Partly Cloudy
2026-01-07,Hyderabad,Telangana,31.4,60.4,15.0,3.5,Clear
2026-01-07,Chennai,Tamil Nadu,33.5,75.8,18.3,6.4,Cloudy
2026-01-07,Pune,Maharashtra,29.8,51.3,9.8,0.8,Sunny
2026-01-07,Mumbai,Maharashtra,28.8,82.2,14.1,8.3,Humid
2026-01-07,Delhi,Delhi,36.0,52.8,11.4,1.1,Clear
2026-01-07,Kolkata,West Bengal,33.5,85.0,7.3,10.8,Rain
2026-01-07,Ahmedabad,Gujarat,34.7,41.9,20.8,0.3,Sunny
2026-01-07,Jaipur,Rajasthan,36.8,45.6,18.0,0.2,Clear
2026-01-07,Kochi,Kerala,30.5,84.1,11.2,16.6,Rain
2026-01-08,Bengaluru,Karnataka,29.1,72.5,12.1,11.1,Partly Cloudy
2026-01-08,Hyderabad,Telangana,32.9,66.3,17.2,1.4,Clear
2026-01-08,Chennai,Tamil Nadu,34.1,76.2,20.3,2.9,Cloudy
2026-01-08,Pune,Maharashtra,28.3,57.2,7.6,0.9,Sunny
2026-01-08,Mumbai,Maharashtra,29.2,80.4,17.8,13.5,Humid
2026-01-08,Delhi,Delhi,33.8,55.0,13.4,0.5,Clear
2026-01-08,Kolkata,West Bengal,34.9,87.5,8.0,16.4,Rain
2026-01-08,Ahmedabad,Gujarat,35.4,44.8,22.1,0.5,Sunny
2026-01-08,Jaipur,Rajasthan,35.3,41.0,15.6,0.2,Clear
2026-01-08,Kochi,Kerala,29.0,81.5,12.4,4.1,Rain
2026-01-09,Bengaluru,Karnataka,29.6,71.2,9.3,5.2,Partly Cloudy
2026-01-09,Hyderabad,Telangana,32.7,61.2,11.9,3.7,Clear
2026-01-09,Chennai,Tamil Nadu,35.1,76.6,15.9,4.1,Cloudy
2026-01-09,Pune,Maharashtra,28.0,61.9,8.8,0.7,Sunny
2026-01-09,Mumbai,Maharashtra,30.7,83.8,18.0,5.6,Humid
2026-01-09,Delhi,Delhi,33.9,57.9,12.8,1.4,Clear
2026-01-09,Kolkata,West Bengal,31.8,74.8,10.8,8.9,Rain
2026-01-09,Ahmedabad,Gujarat,34.2,51.1,20.0,0.5,Sunny
2026-01-09,Jaipur,Rajasthan,35.1,47.0,12.9,0.3,Clear
2026-01-09,Kochi,Kerala,30.1,81.7,11.4,21.0,Rain
2026-01-10,Bengaluru,Karnataka,28.5,66.8,12.4,4.3,Partly Cloudy
2026-01-10,Hyderabad,Telangana,30.7,56.3,11.8,1.3,Clear
2026-01-10,Chennai,Tamil Nadu,33.3,67.3,19.9,4.3,Cloudy
2026-01-10,Pune,Maharashtra,30.0,53.5,9.3,0.5,Sunny
2026-01-10,Mumbai,Maharashtra,30.1,71.2,17.5,9.2,Humid
2026-01-10,Delhi,Delhi,34.1,51.6,15.0,0.5,Clear
2026-01-10,Kolkata,West Bengal,34.8,80.1,9.7,14.7,Rain
2026-01-10,Ahmedabad,Gujarat,35.5,45.1,20.3,0.5,Sunny
2026-01-10,Jaipur,Rajasthan,36.2,46.7,16.7,0.3,Clear
2026-01-10,Kochi,Kerala,30.0,81.9,8.4,6.1,Rain
2026-01-11,Bengaluru,Karnataka,27.8,75.4,10.7,3.5,Partly Cloudy
2026-01-11,Hyderabad,Telangana,30.7,65.8,16.7,2.7,Clear
2026-01-11,Chennai,Tamil Nadu,33.3,66.4,17.1,5.7,Cloudy
2026-01-11,Pune,Maharashtra,28.7,57.2,8.8,2.4,Sunny
2026-01-11,Mumbai,Maharashtra,33.0,78.7,14.6,14.3,Humid
2026-01-11,Delhi,Delhi,34.7,50.0,9.4,0.9,Clear
2026-01-11,Kolkata,West Bengal,33.6,81.0,7.9,10.0,Rain
2026-01-11,Ahmedabad,Gujarat,34.1,41.7,16.7,0.3,Sunny
2026-01-11,Jaipur,Rajasthan,35.1,35.3,14.3,0.1,Clear
2026-01-11,Kochi,Kerala,30.8,84.4,12.6,16.0,Rain
2026-01-12,Bengaluru,Karnataka,30.5,77.3,11.5,5.1,Partly Cloudy
2026-01-12,Hyderabad,Telangana,34.4,56.1,15.8,2.7,Clear
2026-01-12,Chennai,Tamil Nadu,32.4,74.7,20.7,7.2,Cloudy
2026-01-12,Pune,Maharashtra,31.1,62.4,8.0,1.5,Sunny
2026-01-12,Mumbai,Maharashtra,31.3,82.7,17.9,12.6,Humid
2026-01-12,Delhi,Delhi,35.9,57.5,13.5,1.3,Clear
2026-01-12,Kolkata,West Bengal,32.7,74.4,7.5,8.0,Rain
2026-01-12,Ahmedabad,Gujarat,34.6,49.7,19.6,0.4,Sunny
2026-01-12,Jaipur,Rajasthan,37.6,44.5,15.4,0.1,Clear
2026-01-12,Kochi,Kerala,31.7,87.5,11.1,13.7,Rain
2026-01-13,Bengaluru,Karnataka,30.4,65.9,13.6,4.4,Partly Cloudy
2026-01-13,Hyderabad,Telangana,30.8,57.7,15.9,1.3,Clear
2026-01-13,Chennai,Tamil Nadu,35.3,76.7,18.3,5.1,Cloudy
2026-01-13,Pune,Maharashtra,30.2,60.6,11.8,1.7,Sunny
2026-01-13,Mumbai,Maharashtra,31.9,72.1,14.0,5.6,Humid
2026-01-13,Delhi,Delhi,36.6,49.3,12.8,0.3,Clear
2026-01-13,Kolkata,West Bengal,32.1,77.8,10.7,12.7,Rain
2026-01-13,Ahmedabad,Gujarat,36.9,42.1,19.3,0.3,Sunny
2026-01-13,Jaipur,Rajasthan,37.0,36.7,17.9,0.1,Clear
2026-01-13,Kochi,Kerala,32.6,90.1,8.2,12.3,Rain
2026-01-14,Bengaluru,Karnataka,31.1,78.6,11.9,4.6,Partly Cloudy
2026-01-14,Hyderabad,Telangana,31.5,67.2,12.8,2.5,Clear
2026-01-14,Chennai,Tamil Nadu,33.0,70.3,21.0,2.9,Cloudy
2026-01-14,Pune,Maharashtra,31.6,58.1,12.5,1.9,Sunny
2026-01-14,Mumbai,Maharashtra,30.4,83.6,16.0,2.8,Humid
2026-01-14,Delhi,Delhi,33.7,51.9,12.1,0.8,Clear
2026-01-14,Kolkata,West Bengal,32.5,78.8,8.6,14.8,Rain
2026-01-14,Ahmedabad,Gujarat,34.3,48.5,21.2,0.1,Sunny
2026-01-14,Jaipur,Rajasthan,38.9,45.0,17.9,0.1,Clear
2026-01-14,Kochi,Kerala,30.2,82.5,14.1,14.7,Rain
2026-01-15,Bengaluru,Karnataka,29.4,71.0,10.9,2.4,Partly Cloudy
2026-01-15,Hyderabad,Telangana,31.1,65.7,13.2,3.6,Clear
2026-01-15,Chennai,Tamil Nadu,33.5,66.7,18.4,3.4,Cloudy
2026-01-15,Pune,Maharashtra,29.9,64.4,12.5,2.1,Sunny
2026-01-15,Mumbai,Maharashtra,32.0,83.8,18.7,9.2,Humid
2026-01-15,Delhi,Delhi,36.7,45.7,13.8,1.0,Clear
2026-01-15,Kolkata,West Bengal,35.0,83.0,8.4,3.5,Rain
2026-01-15,Ahmedabad,Gujarat,38.1,39.8,19.0,0.2,Sunny
2026-01-15,Jaipur,Rajasthan,36.5,45.3,18.4,0.1,Clear
2026-01-15,Kochi,Kerala,31.4,81.2,11.4,11.1,Rain
2026-01-16,Bengaluru,Karnataka,28.7,67.3,10.4,10.8,Partly Cloudy
2026-01-16,Hyderabad,Telangana,32.8,57.1,16.9,3.8,Clear
2026-01-16,Chennai,Tamil Nadu,34.4,65.0,16.5,2.5,Cloudy
2026-01-16,Pune,Maharashtra,29.9,52.3,8.6,1.0,Sunny
2026-01-16,Mumbai,Maharashtra,31.9,83.4,17.6,7.5,Humid
2026-01-16,Delhi,Delhi,35.6,52.3,11.7,0.8,Clear
2026-01-16,Kolkata,West Bengal,32.3,77.9,12.5,4.6,Rain
2026-01-16,Ahmedabad,Gujarat,36.5,46.8,21.4,0.2,Sunny
2026-01-16,Jaipur,Rajasthan,36.5,38.5,14.9,0.2,Clear
2026-01-16,Kochi,Kerala,32.7,88.9,13.3,4.1,Rain
2026-01-17,Bengaluru,Karnataka,28.2,74.9,14.6,6.6,Partly Cloudy
2026-01-17,Hyderabad,Telangana,33.2,54.0,13.8,3.5,Clear
2026-01-17,Chennai,Tamil Nadu,36.0,75.0,21.1,3.9,Cloudy
2026-01-17,Pune,Maharashtra,29.0,53.2,10.3,1.9,Sunny
2026-01-17,Mumbai,Maharashtra,33.4,81.1,17.0,11.9,Humid
2026-01-17,Delhi,Delhi,35.8,52.7,9.6,1.5,Clear
2026-01-17,Kolkata,West Bengal,33.1,86.9,10.6,7.2,Rain
2026-01-17,Ahmedabad,Gujarat,35.1,41.5,20.0,0.4,Sunny
2026-01-17,Jaipur,Rajasthan,35.9,36.0,15.6,0.2,Clear
2026-01-17,Kochi,Kerala,30.5,80.1,11.7,3.9,Rain
2026-01-18,Bengaluru,Karnataka,29.4,71.4,15.0,8.2,Partly Cloudy
2026-01-18,Hyderabad,Telangana,34.5,60.7,12.9,1.4,Clear
2026-01-18,Chennai,Tamil Nadu,36.6,72.9,17.1,1.9,Cloudy
2026-01-18,Pune,Maharashtra,30.7,60.4,9.7,1.0,Sunny
2026-01-18,Mumbai,Maharashtra,32.4,84.0,14.5,2.9,Humid
2026-01-18,Delhi,Delhi,35.4,50.9,13.5,0.6,Clear
2026-01-18,Kolkata,West Bengal,35.5,84.3,9.7,5.8,Rain
2026-01-18,Ahmedabad,Gujarat,38.5,42.4,21.1,0.2,Sunny
2026-01-18,Jaipur,Rajasthan,36.5,45.6,14.3,0.3,Clear
2026-01-18,Kochi,Kerala,31.0,79.6,9.4,11.5,Rain
2026-01-19,Bengaluru,Karnataka,30.9,78.3,10.1,5.8,Partly Cloudy
2026-01-19,Hyderabad,Telangana,31.9,67.6,12.4,0.8,Clear
2026-01-19,Chennai,Tamil Nadu,33.1,68.5,20.7,9.4,Cloudy
2026-01-19,Pune,Maharashtra,31.7,65.0,12.8,1.1,Sunny
2026-01-19,Mumbai,Maharashtra,30.6,84.1,17.6,2.9,Humid
2026-01-19,Delhi,Delhi,36.8,50.3,11.6,0.8,Clear
2026-01-19,Kolkata,West Bengal,33.0,74.0,8.4,7.9,Rain
2026-01-19,Ahmedabad,Gujarat,38.6,39.7,22.0,0.2,Sunny
2026-01-19,Jaipur,Rajasthan,37.1,46.5,17.4,0.2,Clear
2026-01-19,Kochi,Kerala,29.3,83.6,10.3,20.8,Rain
2026-01-20,Bengaluru,Karnataka,29.1,70.1,14.6,2.2,Partly Cloudy
2026-01-20,Hyderabad,Telangana,32.8,65.4,16.1,0.8,Clear
2026-01-20,Chennai,Tamil Nadu,33.1,63.9,20.8,4.0,Cloudy
2026-01-20,Pune,Maharashtra,31.8,63.6,9.2,1.0,Sunny
2026-01-20,Mumbai,Maharashtra,33.8,79.6,14.7,11.3,Humid
2026-01-20,Delhi,Delhi,35.5,48.9,9.4,1.4,Clear
2026-01-20,Kolkata,West Bengal,36.1,82.9,12.4,3.2,Rain
2026-01-20,Ahmedabad,Gujarat,35.8,44.7,21.9,0.5,Sunny
2026-01-20,Jaipur,Rajasthan,37.3,38.5,15.1,0.2,Clear
2026-01-20,Kochi,Kerala,32.9,79.6,12.9,17.5,Rain
2026-01-21,Bengaluru,Karnataka,31.7,75.8,12.8,5.1,Partly Cloudy
2026-01-21,Hyderabad,Telangana,32.5,59.1,16.2,0.9,Clear
2026-01-21,Chennai,Tamil Nadu,33.8,73.5,16.8,2.3,Cloudy
2026-01-21,Pune,Maharashtra,29.0,58.7,9.2,2.5,Sunny
2026-01-21,Mumbai,Maharashtra,33.5,84.8,14.7,3.5,Humid
2026-01-21,Delhi,Delhi,34.7,52.0,13.7,1.0,Clear
2026-01-21,Kolkata,West Bengal,33.4,79.8,10.4,12.5,Rain
2026-01-21,Ahmedabad,Gujarat,37.9,49.9,20.2,0.1,Sunny
2026-01-21,Jaipur,Rajasthan,39.2,39.1,15.9,0.2,Clear
2026-01-21,Kochi,Kerala,32.3,79.8,9.6,8.3,Rain
2026-01-22,Bengaluru,Karnataka,29.1,77.4,12.7,5.1,Partly Cloudy
2026-01-22,Hyderabad,Telangana,32.9,67.9,14.5,1.4,Clear
2026-01-22,Chennai,Tamil Nadu,36.3,72.1,21.2,2.6,Cloudy
2026-01-22,Pune,Maharashtra,30.9,62.5,12.2,2.3,Sunny
2026-01-22,Mumbai,Maharashtra,30.2,75.1,13.8,4.8,Humid
2026-01-22,Delhi,Delhi,38.3,53.2,15.0,0.9,Clear
2026-01-22,Kolkata,West Bengal,36.0,80.3,8.3,13.9,Rain
2026-01-22,Ahmedabad,Gujarat,38.8,39.5,19.8,0.4,Sunny
2026-01-22,Jaipur,Rajasthan,36.7,40.2,13.3,0.1,Clear
2026-01-22,Kochi,Kerala,30.4,85.4,12.0,7.5,Rain
2026-01-23,Bengaluru,Karnataka,28.6,69.6,13.3,3.8,Partly Cloudy
2026-01-23,Hyderabad,Telangana,32.6,56.8,16.3,2.4,Clear
2026-01-23,Chennai,Tamil Nadu,33.4,64.4,17.7,6.5,Cloudy
2026-01-23,Pune,Maharashtra,31.6,52.3,8.2,1.9,Sunny
2026-01-23,Mumbai,Maharashtra,31.8,75.0,14.9,14.2,Humid
2026-01-23,Delhi,Delhi,35.7,52.9,11.5,0.9,Clear
2026-01-23,Kolkata,West Bengal,36.1,88.0,8.9,5.7,Rain
2026-01-23,Ahmedabad,Gujarat,38.0,40.9,16.2,0.5,Sunny
2026-01-23,Jaipur,Rajasthan,37.6,46.5,14.9,0.3,Clear
2026-01-23,Kochi,Kerala,31.3,79.3,8.2,14.0,Rain
2026-01-24,Bengaluru,Karnataka,31.2,77.7,9.7,8.0,Partly Cloudy
2026-01-24,Hyderabad,Telangana,32.9,61.1,12.4,1.5,Clear
2026-01-24,Chennai,Tamil Nadu,35.3,76.0,16.0,6.0,Cloudy
2026-01-24,Pune,Maharashtra,32.3,64.5,8.4,0.7,Sunny
2026-01-24,Mumbai,Maharashtra,34.0,84.7,16.0,3.1,Humid
2026-01-24,Delhi,Delhi,38.2,50.4,14.8,1.2,Clear
2026-01-24,Kolkata,West Bengal,36.0,76.2,11.4,6.0,Rain
2026-01-24,Ahmedabad,Gujarat,36.7,49.8,21.2,0.2,Sunny
2026-01-24,Jaipur,Rajasthan,36.9,40.6,15.6,0.2,Clear
2026-01-24,Kochi,Kerala,30.0,80.5,12.4,20.4,Rain
2026-01-25,Bengaluru,Karnataka,28.8,72.9,13.7,2.3,Partly Cloudy
2026-01-25,Hyderabad,Telangana,34.8,55.6,15.1,2.4,Clear
2026-01-25,Chennai,Tamil Nadu,35.8,67.3,17.8,6.8,Cloudy
2026-01-25,Pune,Maharashtra,30.9,60.2,9.9,1.3,Sunny
2026-01-25,Mumbai,Maharashtra,30.4,79.7,16.0,5.4,Humid
2026-01-25,Delhi,Delhi,37.6,55.9,12.1,0.6,Clear
2026-01-25,Kolkata,West Bengal,34.7,75.5,7.5,9.0,Rain
2026-01-25,Ahmedabad,Gujarat,35.5,44.2,19.3,0.1,Sunny
2026-01-25,Jaipur,Rajasthan,38.6,36.2,16.9,0.3,Clear
2026-01-25,Kochi,Kerala,31.6,77.8,11.1,10.7,Rain
2026-01-26,Bengaluru,Karnataka,32.5,66.9,14.3,11.7,Partly Cloudy
2026-01-26,Hyderabad,Telangana,34.5,65.4,12.7,3.7,Clear
2026-01-26,Chennai,Tamil Nadu,35.3,76.4,20.8,3.2,Cloudy
2026-01-26,Pune,Maharashtra,32.4,64.0,7.6,1.2,Sunny
2026-01-26,Mumbai,Maharashtra,33.4,73.2,18.5,5.8,Humid
2026-01-26,Delhi,Delhi,37.9,47.0,12.4,1.7,Clear
2026-01-26,Kolkata,West Bengal,33.7,77.7,9.7,7.4,Rain
2026-01-26,Ahmedabad,Gujarat,35.4,40.5,17.2,0.5,Sunny
2026-01-26,Jaipur,Rajasthan,38.9,47.5,13.5,0.3,Clear
2026-01-26,Kochi,Kerala,30.1,84.4,11.9,10.4,Rain
2026-01-27,Bengaluru,Karnataka,32.3,72.8,12.7,10.6,Partly Cloudy
2026-01-27,Hyderabad,Telangana,32.0,67.9,15.3,1.9,Clear
2026-01-27,Chennai,Tamil Nadu,36.6,66.7,21.2,6.8,Cloudy
2026-01-27,Pune,Maharashtra,30.7,61.7,9.9,0.8,Sunny
2026-01-27,Mumbai,Maharashtra,33.4,71.7,18.0,5.6,Humid
2026-01-27,Delhi,Delhi,37.3,58.8,12.9,1.3,Clear
2026-01-27,Kolkata,West Bengal,34.2,74.0,6.9,5.0,Rain
2026-01-27,Ahmedabad,Gujarat,37.8,44.1,19.3,0.5,Sunny
2026-01-27,Jaipur,Rajasthan,36.7,38.2,16.4,0.1,Clear
2026-01-27,Kochi,Kerala,29.7,82.0,8.7,10.4,Rain
2026-01-28,Bengaluru,Karnataka,29.8,73.2,12.7,3.9,Partly Cloudy
2026-01-28,Hyderabad,Telangana,34.2,60.6,12.3,3.6,Clear
2026-01-28,Chennai,Tamil Nadu,34.4,65.1,15.9,7.3,Cloudy
2026-01-28,Pune,Maharashtra,32.8,62.0,9.6,1.0,Sunny
2026-01-28,Mumbai,Maharashtra,30.5,80.0,16.5,6.8,Humid
2026-01-28,Delhi,Delhi,37.3,51.2,15.0,1.4,Clear
2026-01-28,Kolkata,West Bengal,34.0,86.6,7.0,10.4,Rain
2026-01-28,Ahmedabad,Gujarat,37.0,41.3,16.6,0.4,Sunny
2026-01-28,Jaipur,Rajasthan,36.3,42.7,18.1,0.1,Clear
2026-01-28,Kochi,Kerala,30.6,85.5,11.1,15.7,Rain
2026-01-29,Bengaluru,Karnataka,32.2,67.4,11.1,4.9,Partly Cloudy
2026-01-29,Hyderabad,Telangana,31.9,66.5,16.2,2.9,Clear
2026-01-29,Chennai,Tamil Nadu,33.5,74.8,19.8,5.8,Cloudy
2026-01-29,Pune,Maharashtra,32.4,57.3,8.6,0.6,Sunny
2026-01-29,Mumbai,Maharashtra,31.4,71.5,15.1,11.7,Humid
2026-01-29,Delhi,Delhi,37.6,56.8,13.7,0.7,Clear
2026-01-29,Kolkata,West Bengal,35.2,80.1,11.4,10.3,Rain
2026-01-29,Ahmedabad,Gujarat,36.5,47.0,22.0,0.2,Sunny
2026-01-29,Jaipur,Rajasthan,39.8,35.2,14.1,0.1,Clear
2026-01-29,Kochi,Kerala,32.8,90.2,12.6,9.8,Rain
2026-01-30,Bengaluru,Karnataka,32.5,69.6,10.6,10.8,Partly Cloudy
2026-01-30,Hyderabad,Telangana,34.3,63.7,15.5,3.7,Clear
2026-01-30,Chennai,Tamil Nadu,35.5,74.8,19.5,9.2,Cloudy
2026-01-30,Pune,Maharashtra,31.2,61.1,10.6,1.1,Sunny
2026-01-30,Mumbai,Maharashtra,31.4,79.7,13.6,13.7,Humid
2026-01-30,Delhi,Delhi,35.5,45.4,10.0,1.7,Clear
2026-01-30,Kolkata,West Bengal,34.5,76.0,6.9,3.4,Rain
2026-01-30,Ahmedabad,Gujarat,38.2,46.9,20.4,0.4,Sunny
2026-01-30,Jaipur,Rajasthan,36.6,43.3,14.7,0.3,Clear
2026-01-30,Kochi,Kerala,33.2,89.5,8.5,19.9,Rain
2026-01-31,Bengaluru,Karnataka,32.7,78.2,9.8,4.0,Partly Cloudy
2026-01-31,Hyderabad,Telangana,32.3,54.5,16.6,3.2,Clear
2026-01-31,Chennai,Tamil Nadu,36.2,74.6,19.1,4.2,Cloudy
2026-01-31,Pune,Maharashtra,29.9,52.4,11.7,0.9,Sunny
2026-01-31,Mumbai,Maharashtra,31.9,76.9,13.2,5.6,Humid
2026-01-31,Delhi,Delhi,36.1,55.0,11.6,0.8,Clear
2026-01-31,Kolkata,West Bengal,37.0,81.1,11.8,11.7,Rain
2026-01-31,Ahmedabad,Gujarat,35.6,43.8,18.8,0.4,Sunny
2026-01-31,Jaipur,Rajasthan,37.8,44.9,15.7,0.1,Clear
2026-01-31,Kochi,Kerala,33.4,78.3,13.0,6.9,Rain
2026-02-01,Bengaluru,Karnataka,29.1,67.8,13.8,11.5,Partly Cloudy
2026-02-01,Hyderabad,Telangana,31.9,60.9,14.4,3.1,Clear
2026-02-01,Chennai,Tamil Nadu,34.4,69.9,17.4,9.0,Cloudy
2026-02-01,Pune,Maharashtra,30.6,64.2,8.9,0.9,Sunny
2026-02-01,Mumbai,Maharashtra,33.5,78.0,13.8,10.3,Humid
2026-02-01,Delhi,Delhi,35.3,56.0,13.6,1.5,Clear
2026-02-01,Kolkata,West Bengal,35.7,79.0,9.1,8.5,Rain
2026-02-01,Ahmedabad,Gujarat,39.1,39.2,21.5,0.1,Sunny
2026-02-01,Jaipur,Rajasthan,37.3,38.7,17.9,0.2,Clear
2026-02-01,Kochi,Kerala,31.5,89.4,9.5,12.3,Rain
2026-02-02,Bengaluru,Karnataka,31.2,75.6,13.7,8.3,Partly Cloudy
2026-02-02,Hyderabad,Telangana,33.3,58.6,12.4,3.3,Clear
2026-02-02,Chennai,Tamil Nadu,36.4,73.4,16.3,5.6,Cloudy
2026-02-02,Pune,Maharashtra,32.7,59.1,8.0,1.4,Sunny
2026-02-02,Mumbai,Maharashtra,34.3,74.3,14.2,6.2,Humid
2026-02-02,Delhi,Delhi,37.8,56.8,10.3,0.5,Clear
2026-02-02,Kolkata,West Bengal,34.2,78.6,9.8,5.1,Rain
2026-02-02,Ahmedabad,Gujarat,36.9,40.6,22.1,0.4,Sunny
2026-02-02,Jaipur,Rajasthan,36.9,48.5,13.1,0.2,Clear
2026-02-02,Kochi,Kerala,34.0,88.1,12.5,11.8,Rain
2026-02-03,Bengaluru,Karnataka,29.9,73.9,9.8,4.0,Partly Cloudy
2026-02-03,Hyderabad,Telangana,33.5,54.5,13.9,3.1,Clear
2026-02-03,Chennai,Tamil Nadu,36.5,70.0,19.1,5.8,Cloudy
2026-02-03,Pune,Maharashtra,30.2,59.5,9.6,2.0,Sunny
2026-02-03,Mumbai,Maharashtra,34.4,77.0,16.5,11.7,Humid
2026-02-03,Delhi,Delhi,36.7,48.2,13.7,1.6,Clear
2026-02-03,Kolkata,West Bengal,36.4,83.8,11.8,12.5,Rain
2026-02-03,Ahmedabad,Gujarat,38.2,44.4,18.1,0.4,Sunny
2026-02-03,Jaipur,Rajasthan,36.9,40.9,17.2,0.3,Clear
2026-02-03,Kochi,Kerala,32.6,80.5,10.6,12.2,Rain
2026-02-04,Bengaluru,Karnataka,31.7,70.7,13.3,11.0,Partly Cloudy
2026-02-04,Hyderabad,Telangana,32.7,63.2,16.2,1.9,Clear
2026-02-04,Chennai,Tamil Nadu,35.8,76.6,15.5,6.5,Cloudy
2026-02-04,Pune,Maharashtra,30.3,61.9,12.8,1.5,Sunny
2026-02-04,Mumbai,Maharashtra,31.2,79.0,16.3,11.3,Humid
2026-02-04,Delhi,Delhi,37.1,53.9,14.4,1.1,Clear
2026-02-04,Kolkata,West Bengal,34.9,87.3,8.0,12.6,Rain
